Drug_name	approved
(11s)-8-Chloro-11-[1-(Methylsulfonyl)Piperidin-4-Yl]-6-Piperazin-1-Yl-11h-Benzo[5,6]Cyclohepta[1,2-B]Pyridine	Not approved
11-Trans-13-Trans-15-Cis-Octadecatrienoic Acid	Not approved
{1-[2-(1-Formyl-Propyl)-3-Methanesulfonylamino-Pyrrolidine-1-Carbonyl]-2-Methyl-Propyl}-Carbamic Acid Tert-Butyl Ester	Not approved
1-{2-[2-(2-Methoxyethoxy)Ethoxy]Ethoxy}-4-(1,1,3,3-Tetramethylbutyl)Benzene	Not approved
1-({2-[2-(4-Chlorophenyl)Ethyl]-1,3-Dioxolan-2-Yl}Methyl)-1h-Imidazole	Not approved
1-(2,2'-Bithiophen-5-Yl)Methanamine	Not approved
12-(2-Hydroxyethyl)-2-(1-Methylethoxy)-13,14-Dihydronaphtho[2,1-A]Pyrrolo[3,4-C]Carbazol-5(12h)-One	Not approved
1,2,3,4-Tetrahydro-Isoquinoline-7-Sulfonic Acid Amide	Not approved
1-[2-(3-Acetyl-2-Hydroxy-6-Methoxy-Phenyl)-Cyclopropyl]-3-(5-Cyano-Pyridin-2-Yl)-Thiourea	Not approved
1-(2,3-Dihydro-1,4-Benzodioxin-6-Ylsulfonyl)-4-[(4-Methoxyphenyl)Sulfonyl]Piperazine	Not approved
123i-Iodometomidate	Not approved
1,2,3-Trihydroxy-1,2,3,4-Tetrahydrobenzo[A]Pyrene	Not approved
[(1-{2[(4-Carbamimidoyl-Phenylamino)-Methyl]-1-Methyl-1h-Benzoimidazol-5-Yl}-Cyclopropyl)-Pyridin-2-Yl-Methyleneaminooxy]-Acetic Acid Ethyl Ester	Not approved
1-{2-[(4-Chlorophenyl)Amino]-2-Oxoethyl}-N-(1-Isopropylpiperidin-4-Yl)-1h-Indole-2-Carboxamide	Not approved
1-[2-(4-Ethoxy-3-Fluoropyridin-2-Yl)Ethyl]-3-(5-Methylpyridin-2-Yl)Thiourea	Not approved
1,2,4-Triazole	Not approved
1,2,4-Triazole-Carboxamidine	Not approved
1-(2,5-Dideoxy-5-Pyrrolidin-1-Yl-Beta-L-Erythro-Pentofuranosyl)-5-Methylpyrimidine-2,4(1h,3h)-Dione	Not approved
1,2,5-Thiadiazolidin-3-One-1,1-Dioxide	Not approved
(1,2,6,7-3h)Testosterone	Not approved
1-(2-{[(6-Amino-2-Methylpyridin-3-Yl)Methyl]Amino}Ethyl)-6-Chloro-3-[(2,2-Difluoro-2-Pyridin-2-Ylethyl)Amino]-1,4-Dihydropyrazin-2-Ol	Not approved
1-(2,6-Dichlorophenyl)-5-(2,4-Difluorophenyl)-7-Piperazin-1-Yl-3,4-Dihydroquinazolin-2(1h)-One	Not approved
1-(2,6-Dichlorophenyl)-5-(2,4-Difluorophenyl)-7-Piperidin-4-Yl-3,4-Dihydroquinolin-2(1h)-One	Not approved
1-[(2,6-Difluorophenyl)Sulfonyl]-4-(2,3-Dihydro-1,4-Benzodioxin-6-Ylsulfonyl)Piperazine	Not approved
1-(2-Amidinophenyl)-3-(Phenoxyphenyl)Urea	Not approved
1-[2-Amino-2-Cyclohexyl-Acetyl]-Pyrrolidine-3-Carboxylic Acid 5-Chloro-2-(2-Ethylcarbamoyl-Ethoxy)-Benzylamide	Not approved
1-[(2-Amino-4-Chloro-5-Methylphenyl)Sulfonyl]-L-Proline	Not approved
1-[(2-Amino-6,9-Dihydro-1h-Purin-6-Yl)Oxy]-3-Methyl-2-Butanol	Not approved
12-Bromo-1-Dodecanol	Not approved
12-Bromododecanoic Acid	Not approved
1-(2-Chlorophenyl)-3,5-Dimethyl-1h-Pyrazole-4-Carboxylic Acid Ethyl Ester	Not approved
1-(2-Cyclopropylethyl)-3-(1,1-Dioxo-2h-1,2,4-Benzothiadiazin-3-Yl)-6-Fluoro-4-Hydroxy-2(1h)-Quinolinone	Not approved
1-(2-Deoxy-5-O-Phosphono-Beta-D-Erythro-Pentofuranosyl)-4-Methyl-1h-Indole	Not approved
1-(2-Deoxy-5-O-Phosphono-Beta-D-Erythro-Pentofuranosyl)-5-Nitro-1h-Indole	Not approved
1-[2-Deoxyribofuranosyl]-2,4-Difluoro-5-Methyl-Benzene-5'Monophosphate	Not approved
1,2-Di-1-(3,7,11,15-Tetramethyl-Hexadecane)-Sn-Glycero-3-Phosphate	Not approved
1,2-Diacyl-Sn-Glycero-3-Phosphoinositol	Not approved
1,2-Dichlorobenzene	Not approved
1,2-Dichloro-Propane	Not approved
1,2-Dihexadecanoyl-Sn-Glycero-3-Phosphoethanolamine	Not approved
1,2-Dihydroxybenzene	Not approved
1,2-Dihydroxynaphthalene	Not approved
1,2-Dimethoxyethane	Not approved
1,2-Di-N-Pentanoyl-Sn-Glycero-3-Dithiophosphocholine	Not approved
1,2-Dipalmitoyl-Phosphatidyl-Glycerole	Not approved
1,2-Distearoyllecithin	FDA
1-(2-Ethanone)-2-Hydroxy-2-(1-Amino-2-Methyl-2-Ethanol)-4-(2-Dimethyl)Ethane-Imidazoline-5-One;Chromophore (Thr-Leu-Gly)	Not approved
1-(2-Fluorobenzyl)-3-Butyl-8-(N-Acetyl-4-Aminobenzyl)-Xanthine	Not approved
1,2-Hexanediol	Not approved
1-[2-Hydroxy-3-(4-Cyclohexyl-Phenoxy)-Propyl]-4-(2-Pyridyl)-Piperazine	Not approved
12-Hydroxydodecanoic Acid	Not approved
1-((2-Hydroxyethoxy)Methyl)-5-(3-(Benzyloxy)Benzyl)-6-Hydroxypyrimidine-2,4(1h,3h)-Dione	Not approved
1-((2-Hydroxyethoxy)Methyl)-5-(3-(Benzyloxy)Benzyl)Pyrimidine-2,4(1h,3h)-Dione	Not approved
1-((2-Hydroxyethoxy)Methyl)-5-(Phenylthio)Pyrimidine-2,4(1h,3h)-Dione	Not approved
1-(2-Hydroxyethyloxymethyl)-6-Phenyl Thiothymine	Not approved
1,2-Icosapentoyl-Sn-Glycero-3-Phosphoserine	FDA
1-[(2-Nitrophenyl)Sulfonyl]-1h-Pyrrolo[3,2-B]Pyridine-6-Carboxamide	Not approved
1-{2-Oxo-3-[(1r)-1-(1h-Pyrrol-2-Yl)Ethyl]-2h-Indol-5-Yl}Urea	Not approved
1-(2-Phenylethyl)-4-Phenyl-4-Acetoxypiperidine	Not approved
12-Phenylheme	Not approved
(12r)-12-Hydroxyeicosapentaenoic Acid	Not approved
1-[(2r)-2-Aminobutanoyl]-N-(3-Chlorobenzyl)-L-Prolinamide	Not approved
1-[(2r)-2-Aminobutanoyl]-N-(4-Carbamimidoylbenzyl)-L-Prolinamide	Not approved
1-[(2s)-4-(5-Bromo-1h-Pyrazolo[3,4-B]Pyridin-4-Yl)Morpholin-2-Yl]Methanamine	Not approved
1-[(2s)-4-(5-Phenyl-1h-Pyrazolo[3,4-B]Pyridin-4-Yl)Morpholin-2-Yl]Methanamine	Not approved
1-{(2s,5s)-4-Fluoro-5-[(Trityloxy)Methyl]Tetrahydrofuran-2-Yl}Pyrimidine-2,4(1h,3h)-Dione	Not approved
1-[2-(S)-Amino-3-Biphenyl-4-Yl-Propionyl]-Pyrrolidine-2-(S)-Carbonitrile	Not approved
1-(3-(2,4-Dimethylthiazol-5-Yl)-4-Oxo-2,4-Dihydroindeno[1,2-C]Pyrazol-5-Yl)-3-(4-Methylpiperazin-1-Yl)Urea	Not approved
1,3,2-Dioxaborolan-2-Ol	Not approved
1-[3,3-Dimethyl-2-(2-Methylamino-Propionylamino)-Butyryl]-Pyrrolidine-2-Carboxylic Acid(1,2,3,4-Tetrahydro-Naphthalen-1-Yl)-Amide	Not approved
1,3,3-Trimethyl-2-[(1e,3e)-3-Methylpenta-1,3-Dien-1-Yl]Cyclohexene	Not approved
1,3,4,9-Tetrahydro-2-(Hydroxybenzoyl)-9-[(4-Hydroxyphenyl)Methyl]-6-Methoxy-2h-Pyrido[3,4-B]Indole	Not approved
1-[3-({[(4-Amino-5-Fluoro-2-Methylquinolin-3-Yl)Methyl]Thio}Methyl)Phenyl]-2,2,2-Trifluoroethane-1,1-Diol	Not approved
1-{3-[(4-Pyridin-2-Ylpiperazin-1-Yl)Sulfonyl]Phenyl}-3-(1,3-Thiazol-2-Yl)Urea	Not approved
1,3,4-Trihydroxy-5-(3-Phenoxypropyl)-Cyclohexane-1-Carboxylic A Cid	Not approved
1-(3,5-Dichlorophenyl)-5-Methyl-1h-1,2,4-Triazole-3-Carboxylic Acid	Not approved
1,3,5-Trichlorobenzene	Not approved
1,3,5-Trimethoxybenzene	Not approved
13-Acetylphorbol	Not approved
1,3-Bis-([3-[3-[3-(4-{3-[3-Nitro-5-(Galactopyranosyloxy)-Benzoylamino]-Propyl}-Piperazin-1-Yl)-Propylamino-3,4-Dioxo-Cyclobutenyl]-Amino-Propoxy-Ethoxy-Ethoxy]-Propyl-]Amino-Carbonyloxy)-2-Amino-Propane	Not approved
1,3-Bis-([[3-(4-{3-[3-Nitro-5-(Galactopyranosyloxy)-Benzoylamino]-Propyl}-Piperazin-1-Yl)-Propylamino-3,4-Dioxo-Cyclobutenyl]-Amino-Ethyl]-Amino-Carbonyloxy)-2-Amino-Propane	Not approved
1-(3-Bromophenyl)-7-Chloro-6-Methoxy-3,4-Dihydroisoquinoline	Not approved
[1-(3-Chloro-2-Formyl-Phenylcarbamoyl)-2-Methyl-Propyl]-Carbamic Acid Tert-Butyl Ester	Not approved
13-Cis-12-(3'-Carboxyphenyl)Retinoic Acid	Not approved
13c-Urea	EMA
1,3-Cyclohexanediol, 4-Methylene-5-[(2e)-[(1s,3as,7as)-Octahydro-1-(5-Hydroxy-5-Methyl-1,3-Hexadiynyl)-7a-Methyl-4h-Inden-4-Ylidene]Ethylidene]-, (1r,3s,5z)	Not approved
1,3-Dedimethyl-1,3-Divinyl Heme	Not approved
13-Deoxydoxorubicin	Not approved
1,3-Dinitrobenzene	Not approved
1,3-Di(N-Propyloxy-A-Mannopyranosyl)-Carbomyl 5-Methyazido-Benzene	Not approved
1,3-Diphenylurea	Not approved
[1-(3-Hydroxy-2-Oxo-1-Phenethyl-Propylcarbamoyl)2-Phenyl-Ethyl]-Carbamic Acid Pyridin-4-Ylmethyl Ester	Not approved
{1-[(3-Hydroxy-Methyl-5-Phosphonooxy-Methyl-Pyridin-4-Ylmethyl)-Amino]-Ethyl}-Phosphonic Acid	Not approved
1-(3-Hydroxypropyl)-2-[(3-Nitrobenzoyl)Amino]-1h-Benzimidazol-5-Yl Pivalate	Not approved
1-(3-Methylphenyl)-1h-Benzimidazol-5-Amine	Not approved
1-{3-Oxo-3-[(2s)-2-(Pyrrolidin-1-Ylcarbonyl)Pyrrolidin-1-Yl]Propyl}-3-Phenylquinoxalin-2(1h)-One	Not approved
1,3-Propanediol	Not approved
(13r,15s)-13-Methyl-16-Oxa-8,9,12,22,24-Pentaazahexacyclo[15.6.2.16,9.1,12,15.0,2,7.0,21,25]Heptacosa-1(24),2,4,6,17(25),18,20-Heptaene-23,26-Dione	Not approved
1-{[(3r)-3-Methyl-4-({4-[(1s)-2,2,2-Trifluoro-1-Hydroxy-1-Methylethyl]Phenyl}Sulfonyl)Piperazin-1-Yl]Methyl}Cyclopropanecarboxamide	Not approved
1-[(3s)-5-Phenyl-3-Thiophen-2-Yl-3h-1,4-Benzodiazepin-2-Yl]Azetidin-3-Ol	Not approved
1-3 Sugar Ring Of Pentamannosyl 6-Phosphate	Not approved
1,3-Thiazole-4-Carboxylic Acid	Not approved
1-[4-(2-Oxo-2-Phenylethyl)Phenyl]Guanidine	Not approved
1,4:3,6-Dianhydro-2-O-(3-Carbamimidoylphenyl)-5-O-(4-Carbamimidoylphenyl)-D-Glucitol	Not approved
1-{4-[4-Amino-6-(4-Methoxyphenyl)Furo[2,3-D]Pyrimidin-5-Yl]Phenyl}-3-[2-Fluoro-5-(Trifluoromethyl)Phenyl]Urea	Not approved
1-[4-(4-Chlorobenzyl)-1-(7h-Pyrrolo[2,3-D]Pyrimidin-4-Yl)Piperidin-4-Yl]Methanamine	Not approved
1-[4-(4-Chlorophenyl)-1-(7h-Pyrrolo[2,3-D]Pyrimidin-4-Yl)Piperidin-4-Yl]Methanamine	Not approved
1-(4-Amidinophenyl)-3-(4-Chlorophenyl)Urea	Not approved
1-[4-(Aminomethyl)Benzoyl]-5'-Fluoro-1'H-Spiro[Piperidine-4,2'-Quinazolin]-4'-Amine	Not approved
1-(4-Aminophenyl)-3,5-Dimethyl-1h-Pyrazole-4-Carboxylic Acid Ethyl Ester	Not approved
1-[4-(Aminosulfonyl)Phenyl]-1,6-Dihydropyrazolo[3,4-E]Indazole-3-Carboxamide	Not approved
1,4-Butanediol	Not approved
1-[4-Carboxy-2-(3-Pentylamino)Phenyl]-5,5'-Di(Hydroxymethyl)Pyrrolidin-2-One	Not approved
1-(4-Cyano-Phenyl)-3-[2-(2,6-Dichloro-Phenyl)-1-Imino-Ethyl]-Thiourea	Not approved
1,4-Deoxy-4-((5-Hydroxymethyl-2,3,4-Trihydroxycyclohex-5-Enyl)Amino)Fructose	Not approved
1,4-Dideoxy-5-Dehydro-O2-Sulfo-Glucuronic Acid	Not approved
1,4-Dideoxy-O2-Sulfo-Glucuronic Acid	Not approved
1,4-Dioxane	Not approved
1,4-Dithio-Alpha-D-Glucopyranose	Not approved
1,4-Dithio-Beta-D-Glucopyranose	Not approved
1,4-Dithiothreitol	Not approved
[1-(4-Fluorobenzyl)Cyclobutyl]Methyl (1s)-1-[Oxo(1h-Pyrazol-5-Ylamino)Acetyl]Pentylcarbamate	Not approved
1-(4-Fluorophenyl)-N-[3-Fluoro-4-(1h-Pyrrolo[2,3-B]Pyridin-4-Yloxy)Phenyl]-2-Oxo-1,2-Dihydropyridine-3-Carboxamide	Not approved
1-(4-Hexylphenyl)Prop-2-En-1-One	Not approved
1-[4-(Hydroxymethyl)Phenyl]Guanidine	Not approved
1-(4-Iodobenzoyl)-5-Methoxy-2-Methyl Indole-3-Acetic Acid	Not approved
1-(4-Methoxyphenyl)-3,5-Dimethyl-1h-Pyrazole-4-Carboxylic Acid Ethyl Ester	Not approved
1-[4-(Octahydro-Pyrido[1,2-A]Pyrazin-2-Yl)-Phenyl]-2-Phenyl-1,2,3,4-Tetrahydro-Isoquinolin-6-Ol	Not approved
1-[4-(Pyridin-4-Yloxy)Phenyl]-3-[3-(Trifluoromethyl)Phenyl]Urea	Not approved
1-[(4s)-4-Amino-5-(1,3-Benzothiazol-2-Yl)-5-Oxopentyl]Guanidine	Not approved
1-(4-Thiophen-2-Ylphenyl)Methanamine	Not approved
1-(5-{2-[(1-Methyl-1h-Pyrazolo[4,3-D]Pyrimidin-7-Yl)Amino]Ethyl}-1,3-Thiazol-2-Yl)-3-[3-(Trifluoromethyl)Phenyl]Urea	Not approved
1-{5-[2-(Thieno[3,2-D]Pyrimidin-4-Ylamino)Ethyl]-1,3-Thiazol-2-Yl}-3-[3-(Trifluoromethyl)Phenyl]Urea	Not approved
1-(5-Bromo-Pyridin-2-Yl)-3-[2-(6-Fluoro-2-Hydroxy-3-Propionyl-Phenyl)-Cyclopropyl]-Urea	Not approved
1-(5-Carboxypentyl)-5-[(2,6-Dichlorobenzyl)Oxy]-1 H-Indole-2-Carboxylic Acid	Not approved
1-(5-Chloro-2,4-Dimethoxyphenyl)-3-(5-Cyanopyrazin-2-Yl)Urea	Not approved
1-(5-Chloro-2-Methoxyphenyl)-3-{6-[2-(Dimethylamino)-1-Methylethoxy]Pyrazin-2-Yl}Urea	Not approved
1-[5-Methyl-2-(Trifluoromethyl)Furan-3-Yl]-3-[5-[2-[[6-(1h-1,2,4-Triazol-5-Ylamino)Pyrimidin-4-Yl]Amino]Ethyl]-1,3-Thiazol-2-Yl]Urea	Not approved
1-(5-Oxo-2,3,5,9b-Tetrahydro-1h-Pyrrolo[2,1-A]Isoindol-9-Yl)-3-(5-Pyrrolidin-2-Yl-1h-Pyrazol-3-Yl)-Urea	Not approved
1-(5-Phospho-D-Ribosyl)-Atp	Not approved
1-(5-Tert-Butyl-1,3,4-Oxadiazol-2-Yl)-2-(Methylamino)Ethanone	Not approved
1-(5-Tert-Butyl-2-Methyl-2h-Pyrazol-3-Yl)-3-(4-Chloro-Phenyl)-Urea	Not approved
16,17-Androstene-3-Ol	Not approved
1-[6-(2-Chloro-4-Methyxyphenoxy)-Hexyl]-Imidazole	Not approved
[1-(6-{6-[(1-Methylethyl)Amino]-1h-Indazol-1-Yl}Pyrazin-2-Yl)-1h-Pyrrol-3-Yl]Acetic Acid	Not approved
16-Bromoepiandrosterone	Not approved
1-(6-Cyano-3-Pyridylcarbonyl)-5',8'-Difluorospiro[Piperidine-4,2'(1'H)-Quinazoline]-4'-Amine	Not approved
1,6-Di-O-Phosphono-D-Allitol	Not approved
1,6-Di-O-Phosphono-D-Mannitol	Not approved
1,6-Fructose Diphosphate (Linear Form)	Not approved
1,6-Naphthalenediol	Not approved
17alpha-Estriol	Not approved
17alpha-Methyl-3beta,17beta-Dihydroxy-5alpha-Androstane	Not approved
17alpha-Methyl-3beta,17beta-Dihydroxyandrost-4-Ene	Not approved
17alpha-Methyl-4-Hydroxynandrolone	Not approved
(17beta)-17-(Cyanomethyl)-2-Methoxyestra-1(10),2,4-Trien-3-Yl Sulfamate	Not approved
1-{7-Cyclohexyl-6-[4-(4-Methylpiperazin-1-Yl)Benzyl]-7h-Pyrrolo[2,3-D]Pyrimidin-2-Yl}Methanamine	Not approved
17-Methyl-17-Alpha-Dihydroequilenin	Not approved
18-Chloro-11,12,13,14-Tetrahydro-1h,10h-8,4-(Azeno)-9,15,1,3,6-Benzodioxatriazacycloheptadecin-2-One	Not approved
1,8-Di-Hydroxy-4-Nitro-Anthraquinone	Not approved
1,8-Di-Hydroxy-4-Nitro-Xanthen-9-One	Not approved
18-Methoxycoronaridine	Not approved
18-Methyl-19-Nortestosterone	Not approved
19-(Cyclopropylamino)-4,6,7,15-Tetrahydro-5h-16,1-(Azenometheno)-10,14-(Metheno)Pyrazolo[4,3-O][1,3,9]Triazacyclohexadecin-8(9h)-One	Not approved
1-(9-Ethyl-9h-Carbazol-3-Yl)-N-Methylmethanamine	Not approved
19-Nor-4-Androstenedione	Not approved
19-Nor-5-Androstenediol	Not approved
19-Nor-5-Androstenedione	Not approved
19-Norandrostenedione	Not approved
1-Acetyl-2-Carboxypiperidine	Not approved
1-Acetyl-2-Lyso-Sn-Glycero-3-Phosphoethanolamine	Not approved
1-Acetyl-4-(4-{4-[(2-Ethoxyphenyl)Thio]-3-Nitrophenyl}Pyridin-2-Yl)Piperazine	Not approved
1-(Adamantan-1-Yl)-2-(1h-Imidazol-1-Yl)Ethanone	Not approved
1-Allyl-3-Butyl-8-(N-Acetyl-4-Aminobenzyl)-Xanthine	Not approved
1alpha,24s-Dihydroxyvitamin D2	Not approved
1alpha-Hydroxyvitamin D5	Not approved
1-Amino-1-Carbonyl Pentane	Not approved
1-Amino-2,3-Dihydroxy-5-Hydroxymethyl Cyclohex-5-Ene	Not approved
1-Amino-6-Cyclohex-3-Enylmethyloxypurine	Not approved
1-Aminocyclopropanecarboxylic Acid	Not approved
1-Aminocyclopropylphosphonate	Not approved
1-Androstenediol	Not approved
1-Androstenedione	Not approved
(1ar,8s,13s,14s,15ar)-5,13,14-Trihydroxy-3-Methoxy-8-Methyl-8,9,13,14,15,15a-Hexahydro-6h-Oxireno[K][2]Benzoxacyclotetradecine-6,12(1ah)-Dione	Not approved
1-Azepan-1-Yl-2-Phenyl-2-(4-Thioxo-1,4-Dihydro-Pyrazolo[3,4-D]Pyrimidin-5-Yl)Ethanone Adduct	Not approved
1-Benzyl-3-(4-Methoxy-Benzenesulfonyl)-6-Oxo-Hexahydro-Pyrimidine-4-Carboxylic Acid Hydroxyamide	Not approved
1-Benzyl-3-(4-Methoxyphenylamino)-4-Phenylpyrrole-2,5-Dione	Not approved
1-Benzyl-4-[(5,6-Dimethoxy-1-Indanon-2-Yl)Methyl]Piperidine	Not approved
(1-Benzyl-5-Methoxy-2-Methyl-1h-Indol-3-Yl)Acetic Acid	Not approved
1-Benzylimidazole	Not approved
1-Benzyl-(R)-Propylamine	Not approved
1-Beta-Ribofuranosyl-1,3-Diazepinone	Not approved
1-Biphenyl-2-Ylmethanamine	Not approved
1-(Biphenyl-4-Ylmethyl)-1h-Imidazole	Not approved
(+)-1-Bromo-2-Propanol	Not approved
1-Butane Boronic Acid	Not approved
1-Butanoyl-N-(4-Carbamimidoylbenzyl)-L-Prolinamide	Not approved
1-Carboxyethylaminomethyl-4-Aminomethylbenzene	Not approved
1-Chloro-6-(4-Hydroxyphenyl)-2-Naphthol	Not approved
1-Cyclobutyl-3-(3,4-Dimethoxyphenyl)-1h-Pyrazolo[3,4-D]Pyrimidin-4-Amine	Not approved
1-(Cyclohexylamino)-3-(6-Methyl-3,4-Dihydro-1h-Carbazol-9(2h)-Yl)Propan-2-Ol	Not approved
1-Cyclohexyl-N-{[1-(4-Methylphenyl)-1h-Indol-3-Yl]Methyl}Methanamine	Not approved
1d09c3	Not approved
1-Deaza-Adenosine	Not approved
1'-Deazo-Thiamin Diphosphate	Not approved
1-Decyl-3-Trifluoro Ethyl-Sn-Glycero-2-Phosphomethanol	Not approved
1-Deoxy-1-{2,6,8-Trioxo-7-[4-(Phosphonooxy)Butyl]-1,2,3,6,7,8-Hexahydro-9h-Purin-9-Yl}-D-Arabinitol	Not approved
1-Deoxy-1-Acetylamino-Beta-D-Gluco-2-Heptulopyranosonamide	Not approved
1-Deoxy-1-Methoxycarbamido-Beta-D-Gluco-2-Heptulopyranosonamide	Not approved
1-Deoxy-1-Methoxycarbamido-Beta-D-Glucopyranose	Not approved
1-Deoxy-1-Thio-Heptaethylene Glycol	Not approved
1-Deoxy-6-O-Phosphono-1-[(Phosphonomethyl)Amino]-L-Threo-Hexitol	Not approved
1-Deoxy-D-Xylulose 5-Phosphate	Not approved
1-Deoxymannojirimycin	Not approved
1-Deoxy-Ribofuranose-5'-Phosphate	Not approved
1d-Myo-Inositol 1,3,4-Trisphosphate	Not approved
1d-Myo-Inositol 1,4,5-Trisphosphate	Not approved
1-Dodecanol	Not approved
(1e)-5-(1-Piperidin-4-Yl-3-Pyridin-4-Yl-1h-Pyrazol-4-Yl)-2,3-Dihydro-1h-Inden-1-One Oxime	Not approved
1-Ethoxycarbonyl-D-Phe-Pro-2(4-Aminobutyl)Hydrazine	Not approved
1-Ethyl-N-(Phenylmethyl)-4-(Tetrahydro-2h-Pyran-4-Ylamino)-1h-Pyrazolo[3,4-B]Pyridine-5-Carboxamide	Not approved
1-Ethyl-Pyrrolidine-2,5-Dione	Not approved
1-[Glycerolylphosphonyl]-2-[8-(2-Hexyl-Cyclopropyl)-Octanal-1-Yl]-3-[Hexadecanal-1-Yl]-Glycerol	Not approved
1-Guanidinium-7-Aminoheptane	Not approved
1-Guanidino-4-(N-Nitro-Benzoylamino-L-Leucyl-L-Prolylamino)Butane	Not approved
1-Guanidino-4-(N-Phenylmethanesulfonyl-L-Leucyl-L-Prolylamino)Butane	Not approved
1h-Benoximidazole-2-Carboxylic Acid	Not approved
1-Hexadecanosulfonic Acid	Not approved
1-Hexadecanosulfonyl-O-L-Serine	Not approved
(1h-Indol-3-Yl)-(2-Mercapto-Ethoxyimino)-Acetic Acid	Not approved
1-Hydroperoxy-L-Tryptophan	Not approved
(1-Hydroxy-1-Phosphono-2-[1,1';4',1'']Terphenyl-3-Yl-Ethyl)-Phosphonic Acid	Not approved
1-Hydroxy-1-Thio-Glycerol	Not approved
